ORIG_FID,대분류,area,Shape_Length,Shape_Area
5,초지,5660.492665,475.6092792,10121.76298
8,산림지,114070.4556,2606.789842,141282.8267
13,하천,117721.1342,5528.42019,173133.547
22,초지,41253.4365,1384.554187,56462.37874
24,초지,47104.94915,1170.238217,58852.03358
25,초지,31810.35136,1291.452574,46564.23117
26,호소 및 습지,5881.482689,362.8251,9197.090602
30,조경녹지,19470.20041,2096.682866,40504.11899
31,조경녹지,14315.96521,561.2455493,19640.69537
39,경작지,45805.03711,1623.361393,62024.97248
42,호소 및 습지,359904.5248,3254.862388,395291.082
44,경작지,47782.30314,1012.760288,57746.3056
50,하천,288096.9192,13153.87535,424217.6003
51,초지,73722.46131,1497.412086,90949.23548
58,조경녹지,216485.4863,6518.880625,286136.2418
63,경작지,46178.11767,1181.539637,61080.79227
67,초지,5634.164202,977.2095128,15321.81493
68,경작지,26015.89093,1251.12292,39406.1034
69,초지,8220.15203,1889.625594,27843.58982
78,호소 및 습지,8225.678714,456.0681378,12471.99124
80,초지,5556.197961,1048.880973,16455.75862
82,호소 및 습지,134618.4209,1895.992858,153322.069
86,산림지,2159583.776,17937.29446,2342735.254
87,경작지,23660.23605,1021.823634,34075.74075
90,경작지,5504.952098,386.7685993,9111.79511
91,조경녹지,5328.452015,584.8955335,12243.31871
98,산림지,22583.41566,949.4375336,31823.11261
99,산림지,256706.0587,4543.89885,302803.5287
101,초지,8569.045339,833.2899174,16968.1218
103,조경녹지,126543.5228,1891.389303,145272.107
104,호소 및 습지,240112.677,2101.991579,261118.4363
106,경작지,14479.69969,541.3624255,19580.42874
107,조경녹지,107169.9081,5341.379626,161454.135
112,경작지,23044.14041,1179.769345,35645.64516
118,초지,7527.111311,1246.805747,19880.14925
120,경작지,26465.94775,908.3780564,37529.55137
121,경작지,161919.6104,3612.879587,202037.3891
122,경작지,39156.2114,1133.087045,51248.87362
123,경작지,7153.222173,555.0621585,12453.05125
124,경작지,18368.70174,735.2033144,26505.55456
127,산림지,201819.8836,2833.976584,230258.9693
128,조경녹지,60802.14611,2073.404484,81477.55664
131,호소 및 습지,111469.4689,1369.390017,124850.0089
132,조경녹지,468935.9759,21079.78304,694305.5252
135,경작지,10913.62459,498.7901299,15607.89818
137,경작지,14651.79187,544.2785842,19780.96594
138,경작지,12415.20433,505.1456746,17152.11282
144,경작지,7487.930254,566.5674799,12841.43725
150,조경녹지,96535.65209,3715.145565,134843.1344
154,경작지,38094.06349,886.5144162,47378.82314
157,조경녹지,178786.2657,7205.934751,256698.2128
158,산림지,26731.68619,1103.656339,37467.98895
163,호소 및 습지,308057.5292,4109.838276,350359.4213
165,산림지,239401.7047,5398.908768,293160.8261
166,산림지,15555.14169,765.4346187,22897.57514
171,초지,5249.604068,892.9052747,15299.85326
172,산림지,6440.395467,452.2499575,10648.89428
173,초지,10202.68322,744.8634302,17384.66943
174,초지,51840.72798,1615.484236,69948.40124
179,초지,10461.93183,1101.504359,21825.43554
191,조경녹지,8641.927673,714.764613,15912.93263
192,호소 및 습지,8483.973765,473.9684725,12910.44497
194,산림지,82482.89598,2387.354418,106976.0719
201,산림지,17354.7987,718.2298898,24232.51657
204,산림지,20637.90673,1012.906435,30622.33923
205,산림지,134999.5807,2399.044677,158893.9051
206,조경녹지,17767.05946,1773.257457,35349.95444
208,조경녹지,51970.8779,4085.190938,94216.59996
211,조경녹지,90331.95753,4730.171398,140779.1526
212,호소 및 습지,316661.5433,3395.251005,350452.9601
220,경작지,8167.227454,586.2079645,13952.27093
221,경작지,124440.4069,2685.393021,154246.7351
222,경작지,5910.278345,450.6014148,10222.10587
224,조경녹지,189150.0202,5791.737242,249373.5696
229,산림지,66595.63785,1610.909772,82565.16224
239,산림지,45091.27026,980.0284826,54586.9554
244,조경녹지,206007.6194,3998.671206,246363.5843
248,하천,10607.89446,581.4949133,16137.23839
257,산림지,45006.46814,1072.162786,55434.96335
263,산림지,17313.82645,1020.31177,27274.90081
266,산림지,43064.25277,1043.822271,53689.09945
271,산림지,15270.55067,549.2636764,20451.8248
274,초지,29451.00925,2329.896832,53082.88068
275,초지,12081.11708,1548.810636,27387.59045
278,산림지,7315.65358,641.5024578,13416.78807
279,산림지,42585.59873,1086.855426,53145.59029
281,조경녹지,45235.44404,3080.533817,77203.9183
287,산림지,141698.0016,2485.587406,167285.5904
288,산림지,147707.9595,4273.433499,191235.652
295,경작지,111491.4394,2492.781098,141466.9732
326,산림지,6571.796019,485.4126874,11192.8254
327,산림지,12854.13587,553.9009168,18079.64082
330,초지,9165.350529,1135.28377,20378.11428
340,산림지,731761.7842,9680.309247,833250.8392
343,산림지,58155.4619,1971.78716,78101.38729
344,조경녹지,53899.81944,1454.828905,68268.06074
349,경작지,8971.556785,656.4250257,15305.30436
355,초지,6881.489879,787.7927531,14470.56339
357,경작지,7074.479278,464.9809638,11781.77666
358,산림지,13235272.07,61021.52029,13882951.4
364,조경녹지,19099.57833,1341.232961,32886.70501
366,조경녹지,30152.72263,1559.573793,46862.23627
369,하천,11082.05086,828.9411621,19294.58639
373,경작지,10200.08735,758.3067802,17524.29561
382,초지,6306.582488,396.0948348,9963.050834
383,호소 및 습지,17227.52959,739.9438375,24323.83593
385,경작지,39267.84761,1113.662977,51376.4018
393,초지,28726.86716,1353.297374,48202.10298
395,초지,9105.722233,1114.328723,20689.178
417,산림지,1191059.566,12805.98623,1323796.263
419,경작지,42742.26739,2695.065631,71211.15766
434,초지,11293.05129,1880.322675,31449.44123
435,초지,11020.79983,883.5694043,20140.73162
443,경작지,14331.34799,861.8872523,22647.52825
446,경작지,93200.09681,3013.250387,126566.6393
447,초지,5192.424876,382.9193991,8864.610364
460,경작지,26767.97515,1272.879589,39200.00529
465,경작지,42877.43982,1199.651498,54636.51652
470,초지,15120.2224,935.5280598,24373.46963
473,경작지,8778.109624,764.4967843,16285.84485
474,경작지,45489.89762,2300.200702,69793.44514
476,초지,10494.90413,833.6020611,19568.2685
477,초지,5029.458763,560.5401534,10325.4341
478,산림지,17112.06651,551.6270586,22319.86983
479,산림지,26906.41367,1267.691569,39335.57708
485,하천,43155.2112,1543.820576,58279.59916
486,조경녹지,10482.87515,593.0466261,16799.43825
488,경작지,26424.11922,1008.626741,37160.22592
492,산림지,357806.0569,5341.141017,411199.0091
495,경작지,11292.99816,665.7308119,17734.05506
496,경작지,5169.535847,347.9491673,8335.4991
499,경작지,43755.57813,1338.75243,57208.0186
514,경작지,20960.00344,1005.290596,31054.00451
516,경작지,69049.22504,1205.759714,80971.20217
518,산림지,8435.666473,503.2093314,13527.75606
520,경작지,16239.90866,1083.749012,27670.7766
526,조경녹지,14434.7913,1716.625579,31353.63312
527,산림지,14374.56911,636.2383989,20912.34465
530,산림지,24891.17884,1021.516347,34851.68638
534,산림지,19688.08594,751.9782738,26901.65319
539,초지,7878.699859,642.5561301,14049.62367
540,초지,22891.64672,1020.307949,33323.96926
561,경작지,14727.77393,1258.385646,27192.3028
577,경작지,5272.676178,370.778454,8877.357776
579,경작지,27462.66247,1002.662327,37915.30191
586,경작지,92574.24413,3521.207974,130426.8723
588,산림지,46078.89619,1477.181242,61366.65554
591,경작지,14742.14399,1135.332838,25780.81966
593,경작지,28928.95496,902.696574,37677.66554
597,조경녹지,11497.0263,1295.899484,24141.84768
599,경작지,5008.180534,353.9654575,8269.259191
604,경작지,34403.70736,2301.967019,57784.53719
608,경작지,17845.84128,812.6038393,26209.79732
614,산림지,21265.72079,1858.903422,39636.67321
615,경작지,5426.152788,613.5302218,11823.3825
617,산림지,33801.16021,1320.318653,48004.82944
625,산림지,88477.45104,2303.656824,115411.918
630,초지,12727.78943,1170.116252,24342.26987
637,조경녹지,104543.6609,6044.294241,168081.2625
641,산림지,797194.8232,7049.510304,869624.5519
645,산림지,19390.43978,839.0240412,27482.23654
651,초지,28319.13274,1484.040935,43393.54162
652,경작지,18609.23123,957.6596246,29618.72412
654,경작지,9043.59164,467.8506276,13412.62823
657,경작지,26366.46354,841.9446659,35610.13472
659,산림지,13416.09801,995.4574203,23138.14503
663,경작지,12251.21902,798.3679464,19978.69458
666,경작지,40021.12425,915.7086415,49032.5531
667,산림지,26761.66925,1908.409101,46154.6333
670,조경녹지,8745.646459,1415.064082,23444.10459
674,산림지,5567.672375,398.2192454,9285.79263
676,산림지,5811.298176,475.0863888,10625.41464
681,산림지,21469.11349,763.689162,28826.19823
692,경작지,38417.23213,1444.138006,52573.12989
699,경작지,13251.06475,735.5215359,20566.89667
701,경작지,6837.521731,675.2116964,13568.676
704,조경녹지,7503.611053,1920.022692,26595.0591
715,경작지,11936.46274,560.5939271,17230.42856
720,조경녹지,17498.55285,609.2678752,23276.06988
728,하천,9300.380893,674.195857,15744.56081
730,초지,23319.43452,868.966183,32794.161
732,산림지,134993.3962,2731.610185,164478.7093
737,산림지,115742.4121,1578.145348,131305.5119
740,경작지,10729.90659,492.8082156,15358.19221
748,조경녹지,96921.44932,3484.536502,134644.6802
749,산림지,144743.5826,3236.68309,178580.2974
751,조경녹지,113483.8164,5549.058758,172199.2761
753,조경녹지,14838.59128,1264.101358,27252.53331
755,조경녹지,8366.355121,816.4793839,16399.77406
764,조경녹지,15812.99736,1812.264557,33885.24624
766,조경녹지,5084.869364,556.966642,10417.4567
779,초지,12737.55908,505.3461386,17476.42191
788,조경녹지,25936.20686,1136.854909,37015.73252
795,산림지,111551.0113,2073.20424,132106.2225
799,조경녹지,8211.055535,976.3753674,17751.37825
801,산림지,85197.01353,2131.414733,106255.3008
802,초지,7856.429225,845.5098219,16036.93867
807,초지,10827.98026,1535.434476,29900.11979
808,조경녹지,111433.362,6929.183558,186647.8003
810,조경녹지,28011.49288,2246.052341,53570.48362
812,조경녹지,15672.50193,1693.623492,32318.38104
813,조경녹지,5716.21441,491.997025,10334.77138
817,산림지,75560.23386,2045.203167,95915.33986
818,산림지,69082.77502,1817.035163,89588.19594
824,조경녹지,6080.102928,512.5586595,10891.25858
825,조경녹지,15104.70056,1177.767084,26880.42129
835,초지,11139.57376,721.0614719,18500.81937
837,조경녹지,47478.26386,2782.19938,78506.48279
839,초지,8241.396385,552.6813344,13453.96467
845,초지,10464.1537,670.9248806,18061.48291
847,조경녹지,13876.11488,1675.79196,32741.37166
850,초지,10151.38633,1523.28927,26232.36867
851,경작지,7059.961141,571.410774,12480.53715
853,하천,7926.223473,1046.16808,18099.86673
856,조경녹지,31604.25523,2371.563434,55647.39372
862,산림지,37542.2095,887.4263553,46289.81323
868,초지,28404.35237,1461.745693,42853.13039
869,산림지,13185.06568,645.4826148,19385.94714
872,초지,14711.1169,1078.841605,25185.31552
873,조경녹지,5501.574793,907.9336745,15218.65943
875,조경녹지,6166.306862,696.4962701,12851.81474
881,조경녹지,10310.91569,1141.979118,23515.1387
883,초지,19456.34261,609.7156572,25254.67473
884,초지,10386.45715,671.3067296,18142.6906
885,조경녹지,10314.29814,998.4317527,20003.13002
886,경작지,6052.70768,422.3970559,9983.043154
887,조경녹지,6314.459055,539.532145,12125.94502
908,경작지,11260.90317,714.9080419,19380.36647
909,경작지,8648.442807,566.3342677,14346.16575
910,경작지,38826.69751,1293.667651,52284.14895
921,경작지,5392.60993,431.8646941,9507.57207
924,경작지,11631.50027,556.1512034,17604.67982
928,경작지,93930.8782,2715.193508,125256.859
935,경작지,20373.71177,766.4950366,28856.4356
938,경작지,8873.372881,463.8858191,13230.76837
941,하천,11534.45743,1041.061801,21631.74699
947,경작지,16264.93922,741.6556376,24425.59264
952,경작지,5213.701795,532.9262747,10316.0548
964,초지,5292.85204,639.9644929,11580.55625
969,하천,10017.88115,918.5422985,18888.87314
970,경작지,6739.566512,564.8070292,12175.52579
984,경작지,5332.660349,406.0124246,9347.537292
986,하천,6349.251635,642.1722905,12490.2079
989,경작지,6918.640621,595.5922514,12750.68902
992,경작지,5242.967583,501.4894316,10844.39637
1010,경작지,11852.44709,788.9599218,19449.83642
1015,경작지,13925.25734,928.0651089,23286.21706
1018,초지,14789.60662,760.2760704,22389.56728
1023,초지,6299.635785,722.591097,13913.80369
1026,경작지,23215.73636,1155.340407,36996.17585
1027,경작지,26132.6159,1175.110325,38246.58045
1042,초지,7028.641978,533.6518791,12388.12785
1044,경작지,14778.39828,936.8760836,23859.54491
1045,초지,6232.977541,1365.463919,20689.63834
1050,경작지,37230.4118,1809.98663,55757.05175
1052,경작지,77885.16559,1539.467409,93024.90361
1055,경작지,7046.029533,497.8304841,11753.0398
1059,조경녹지,23109.21269,1023.366066,33028.47915
1063,산림지,5164.95928,501.4612108,9981.104031
1071,경작지,15273.28258,803.8428828,23087.45672
1072,경작지,14288.4765,673.3417576,21208.48102
1074,조경녹지,5613.786592,476.5803673,10150.18633
1081,경작지,7923.311978,406.1844399,11670.6715
1082,경작지,9120.148598,510.5527873,13946.21143
1090,초지,72924.9355,1587.235342,89763.31119
1094,경작지,11659.80257,564.6307449,17051.68812
1096,경작지,6417.948644,526.5340135,11573.60105
1099,경작지,19538.69948,658.1445758,25824.32806
1108,경작지,14729.67136,660.5045389,21038.51964
1115,경작지,12138.17054,622.4547786,18103.11048
1117,경작지,43665.29748,994.8147484,53588.93649
1119,경작지,14282.77474,613.1703214,20147.60447
1121,경작지,9188.717814,569.4166209,14641.34601
1125,조경녹지,6060.650362,771.7443244,13592.65167
1127,경작지,6421.767693,417.7524282,10289.08301
1128,경작지,6210.65785,525.0824399,11192.4279
1130,하천,7223.732468,471.2103786,11625.70259
1132,경작지,14812.84726,702.1424065,21519.93392
1133,초지,8874.156028,541.8314902,13977.6413
1136,조경녹지,39185.88626,1977.860971,58750.01768
1139,경작지,6482.521535,444.3923793,10612.05247
1141,하천,26257.90192,1146.021773,37430.39438
1144,경작지,18753.90067,629.1354088,24730.87835
1147,경작지,54656.77595,1781.804306,73883.36595
1149,경작지,11539.91173,497.2593214,16506.11491
1153,경작지,5291.744374,364.5472355,8640.018565
1159,경작지,16409.90867,582.7398131,22091.74783
1160,초지,14747.37896,720.3888233,21743.8214
1162,경작지,16519.66546,1062.828226,26880.96882
1166,경작지,94011.26695,1643.786524,112419.1218
1186,경작지,5841.958022,390.424346,9431.539296
1191,경작지,9715.359276,503.7145569,14555.31926
1192,경작지,5165.104211,415.9908102,9046.678571
1194,조경녹지,8314.20978,827.1544979,16282.72137
1196,조경녹지,22254.03014,1367.354668,36062.57615
1201,경작지,29908.75125,941.4403707,39242.3725
1203,경작지,6004.832255,431.3874701,10065.82273
1211,경작지,7025.777612,681.393686,13567.52807
1212,경작지,52029.8482,1055.268104,62268.16921
1216,경작지,6890.817873,402.5470753,10601.43457
1219,경작지,12748.32504,601.4832512,18849.61919
1220,조경녹지,18013.9428,878.6958455,26537.83181
1221,경작지,17831.06826,619.897317,23793.29506
1222,경작지,15977.69666,1317.920339,29896.07127
1225,조경녹지,138532.9683,3319.406468,171433.834
1227,조경녹지,5211.580257,349.1655608,8389.244747
1228,경작지,19327.57095,650.9710201,25523.12898
1230,조경녹지,10222.16972,502.7972373,14935.95891
1232,경작지,23371.44709,1159.276321,35815.72307
1233,경작지,19532.4874,626.9550287,25495.24067
1234,산림지,16280.67621,846.7638739,24486.2918
1239,조경녹지,7330.851345,549.4948945,12558.77332
1244,산림지,5431.295444,369.8600546,8820.975581
1249,경작지,22237.58074,739.4416425,29378.22798
1252,조경녹지,32150.17803,987.0094704,41707.50263
1253,경작지,7295.134442,530.6064412,12347.67011
1255,경작지,16359.77262,614.2461378,22198.12755
1256,경작지,16558.88368,596.852722,22212.89311
1257,경작지,38755.58566,1006.926694,48516.16418
1266,경작지,9717.655687,486.9513572,14430.51745
1269,산림지,147175.901,4028.33132,187973.2978
1275,경작지,6872.222997,436.4490378,10939.49482
1277,하천,10036.35969,494.2067207,14666.72935
1279,경작지,16428.94639,583.2393156,21975.13845
1283,경작지,37515.82842,969.2101056,47233.3773
1284,경작지,5757.90421,440.8272091,9855.880224
1293,초지,11389.30142,495.578211,16089.16619
1294,조경녹지,8135.391048,473.0079721,12550.94568
1301,조경녹지,20902.61202,626.8484161,26856.66153
1315,조경녹지,20882.03126,633.1237501,26900.37387
1321,하천,31270.04509,1352.846217,44659.55922
1322,하천,46804.69807,3130.577809,78129.38431
1324,조경녹지,5819.4639,405.4075275,9575.448381
1326,경작지,47256.44366,1000.221339,56944.30063
1336,경작지,20359.93432,831.5163541,28422.94478
1338,경작지,5847.165381,666.1221338,12580.59731
1341,경작지,6115.52193,495.8203436,11064.75237
1344,경작지,7052.845117,565.7812397,12593.40209
1351,경작지,17533.38436,624.1404869,23463.6958
1360,경작지,33389.79411,885.0748021,42088.01431
1361,경작지,7117.104817,525.6650506,12146.8343
1363,초지,14269.24645,675.0050672,21133.45773
1367,하천,6236.621759,514.0206007,11063.20151
1393,조경녹지,33857.2223,1750.221832,51089.22095
1406,경작지,17190.1229,688.5895772,23780.25217
1407,경작지,44470.34557,954.87521,53724.50129
1413,경작지,28198.68536,954.5840942,37557.33949
1424,경작지,7916.603947,566.7201881,13764.45694
1427,경작지,6537.538397,617.7366083,12675.82219
1431,하천,7348.070211,544.6590489,12503.01079
1441,조경녹지,46633.00901,1059.426523,57395.48678
1443,조경녹지,5926.489695,373.6158246,9347.832625
1456,경작지,7573.981131,634.5018682,13962.39384
1457,경작지,10405.31298,623.2210165,16371.65117
1460,경작지,37029.51214,1559.1509,53400.90395
1463,경작지,21263.36912,1052.675859,32035.93178
1473,조경녹지,6489.649213,544.5549344,11663.20989
1480,조경녹지,17473.79167,1782.687787,35257.00604
1482,경작지,13143.14806,555.5312698,18384.25938
1485,경작지,17065.083,762.8567874,24818.81881
1494,하천,32671.67251,1737.893911,49823.72719
1495,조경녹지,7310.624656,499.1845845,11988.80813
1497,조경녹지,45425.60826,1078.676839,55897.87549
1499,하천,58827.56603,2725.100329,86240.73205
1501,경작지,11356.10949,536.1156564,16405.76912
1503,경작지,9715.623821,673.8104711,16247.46063
1504,경작지,81912.58468,1494.843807,96552.16417
1506,경작지,42900.39947,1475.544477,57858.20209
1522,경작지,6014.246437,357.6616575,9283.087204
1532,조경녹지,11752.62647,491.3144651,16352.18708
1536,경작지,5677.590273,579.6647308,11406.20298
1541,조경녹지,6481.515978,1266.703815,19409.96423
1542,조경녹지,7844.66316,543.3181843,12975.78151
1546,경작지,31478.96446,1634.148284,49323.99282
1549,경작지,5748.538157,445.7566354,10125.73189
1560,산림지,20176.392,702.3250391,26955.83196
1569,경작지,12466.92309,690.9244646,19304.32616
1574,산림지,15038.35075,736.5791595,22169.04681
1578,조경녹지,5763.583841,528.713894,10741.23647
1579,조경녹지,125176.0038,2328.768907,150241.7368
1581,경작지,36037.63604,1051.473058,46282.25138
1584,경작지,106301.2146,2241.763042,129411.5922
1588,경작지,5631.731801,473.7218911,10162.8815
1595,산림지,15948.35833,893.7573259,25468.89687
1598,조경녹지,43385.85859,1614.538411,59778.00206
1605,경작지,8965.471258,462.3728049,13273.99248
1607,경작지,41657.69017,931.9946112,51124.25245
1609,경작지,90118.52532,3451.960415,126653.4985
1610,경작지,53517.16128,1515.534781,69004.4825
1617,경작지,20950.11743,750.0342316,28135.96395
1618,경작지,13271.97524,613.4167247,19091.9181
1619,경작지,9507.607867,661.3480929,15806.73913
1622,경작지,5490.891529,405.2210195,9401.018849
1636,조경녹지,17111.2455,847.7002542,25300.89655
1640,경작지,16353.73638,635.5140556,22394.41159
1648,경작지,57225.94237,1620.739669,73353.8623
1650,조경녹지,41744.75906,1933.355749,60850.22898
1662,하천,8252.596896,577.8759049,13755.636
1663,조경녹지,5603.701834,1427.188788,19564.05511
1664,하천,27585.76695,1523.470803,42543.22943
1682,경작지,251660.8317,2324.060908,275875.1857
1686,조경녹지,9037.888506,426.4872374,12988.68287
1688,조경녹지,24256.60387,845.6557169,32427.91771
1692,경작지,6397.36139,613.0601139,12252.29861
1695,경작지,9301.729286,474.8455609,13737.69597
1701,경작지,8633.392093,488.2920064,13216.07207
1705,하천,8931.750854,605.0008944,14679.68843
1708,경작지,22707.34986,692.9177823,29330.66181
1709,경작지,7502.474082,488.4889013,12086.11958
1710,경작지,7700.964172,426.7961188,11678.6247
1711,경작지,16049.92477,788.3934177,23619.3951
1713,조경녹지,6595.458803,1035.922663,16698.9375
1715,경작지,14647.41367,642.4295941,20815.53413
1721,초지,23682.63206,1901.913556,46897.06915
1729,경작지,15996.44559,921.267907,25072.97212
1742,하천,21921.64519,990.7712972,31519.47911
1743,경작지,6619.713193,720.2244907,13794.33758
1744,하천,18066.93446,858.3049651,26335.62413
1745,경작지,7995.14456,718.5961341,15589.60996
1749,조경녹지,9688.92756,471.2810245,14304.0651
1752,경작지,23495.11082,1270.60297,36351.72906
1753,경작지,11954.90688,664.8403068,19022.93897
1766,조경녹지,9696.786386,558.0796558,15065.38913
1768,조경녹지,8044.583718,1360.717233,21709.66574
1782,경작지,5810.64779,581.6712005,11313.09586
1783,경작지,22060.34708,678.6358812,28532.32618
1784,하천,22194.22335,1225.292687,34302.17385
1790,조경녹지,14055.94811,1055.896962,24301.90995
1792,경작지,122785.9497,1503.236167,137511.6536
1793,조경녹지,63990.1253,1630.032089,80023.41092
1803,경작지,8736.288799,769.6345665,16166.06825
1813,경작지,11548.41149,498.4237588,16358.79928
1814,경작지,14455.7334,664.6935547,20884.80297
1815,경작지,13818.39583,750.3039894,21048.30838
1818,초지,18393.41043,1545.008008,33624.7623
1819,경작지,14423.38117,578.4235942,19893.57363
1820,조경녹지,7774.51878,868.9085431,16149.2302
1824,하천,19544.86273,1051.533583,29795.12857
1826,초지,10603.48862,1322.705677,23669.36911
1832,조경녹지,47675.98903,2164.431227,69037.08503
1847,경작지,12131.77524,671.0283866,18635.75755
1853,경작지,9625.439249,666.0719551,16868.63823
1863,경작지,11168.78728,488.4225745,15738.58224
1864,조경녹지,7527.84794,720.2652416,14601.36793
1865,경작지,14821.66378,553.344257,20043.79878
1866,경작지,5740.061749,403.9895985,9849.230897
1867,경작지,28377.32238,858.6031239,36734.52473
1868,조경녹지,5038.026533,992.6014594,14682.17341
1869,경작지,10473.74943,518.325715,15342.89023
1871,경작지,33884.1203,1151.265359,46039.6928
1882,경작지,50748.81037,1613.146604,67777.01646
1901,경작지,117494.2315,2967.505296,151129.9333
1907,산림지,26593.95673,953.158684,36048.73844
1909,초지,7290.262448,515.3230017,12642.21601
1912,하천,8367.760686,653.9284121,14599.67898
1920,조경녹지,40611.21377,1471.316316,55031.52855
1924,산림지,6074.337305,515.5846281,10968.90587
1926,조경녹지,5580.95927,627.864654,11551.184
1929,경작지,10393.43842,472.1078016,14799.63831
1931,경작지,7707.914383,550.7476286,12942.4993
1933,산림지,7780.001735,461.6785796,12085.65336
1934,경작지,11396.46861,543.39045,16556.31043
1936,경작지,22755.613,714.5395883,29586.60583
1943,하천,5678.712712,647.9794008,11845.02389
1948,경작지,39279.9004,1046.150837,49427.02688
1949,경작지,35951.8233,1061.94503,46924.41727
1951,초지,14199.6826,682.8848556,20784.70872
1955,하천,6493.435032,565.8974865,11873.65099
1956,하천,11442.70377,708.6995116,18216.05888
1972,조경녹지,25252.43982,1344.74567,38472.51507
1973,경작지,33717.35405,974.9719095,43478.30644
1977,조경녹지,8703.483389,451.9762634,12909.44216
1988,하천,41027.22496,2885.369544,70518.87376
2004,경작지,20294.86745,658.3170942,26563.63662
2006,하천,13207.59,896.2437468,21905.58135
2008,초지,73753.58505,1420.712476,88389.45788
2009,경작지,12978.69173,538.9370228,18053.68323
2011,경작지,49872.30709,953.7338997,59095.27002
2019,하천,23463.43666,1285.441773,36263.04499
2034,초지,9441.251834,644.6718334,15868.46785
2044,경작지,40241.50669,906.875699,49049.79388
2050,경작지,8746.760829,536.052738,13850.61692
2054,호소 및 습지,7683.197301,561.9211294,13262.95999
2055,조경녹지,37491.98128,1478.606366,52554.74337
2056,조경녹지,25857.5002,727.7445419,32834.56284
2060,하천,6756.568342,504.6435617,11489.66327
2075,조경녹지,20913.73432,1829.962714,38960.5795
2076,초지,5165.483185,370.7179322,8592.368372
2080,조경녹지,49366.45904,2192.796263,71011.39505
2081,조경녹지,7376.380977,1174.399448,18809.45919
2085,경작지,11638.3585,518.7034815,16510.97399
